id;pos_documento
16;[[['alexa', 'diminuir', 'as', 'luzes', 'da', 'cozinha'], ['PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN'], ['diminuir'], ['alexa', 'diminuir', 'o', 'luz', 'de o', 'cozinha']]]
17;[[['diminui', 'as', 'luzes', 'na', 'cozinha'], ['VERB', 'DET', 'NOUN', 'ADP', 'NOUN'], ['diminui'], ['diminuir', 'o', 'luz', 'em o', 'cozinha']]]
18;[[['alexa', 'limpar', 'o', 'apartamento'], ['PROPN', 'VERB', 'DET', 'NOUN'], ['limpar'], ['alexa', 'limpar', 'o', 'apartamento']]]
19;[[['aspirar', 'a', 'casa'], ['VERB', 'DET', 'NOUN'], ['aspirar'], ['aspirar', 'o', 'casa']]]
20;[[['aspirar', 'a', 'casa', 'olly'], ['VERB', 'DET', 'NOUN', 'ADJ'], ['aspirar'], ['aspirar', 'o', 'casa', 'olly']]]
21;[[['aspirar', 'as', 'alcatifas'], ['VERB', 'DET', 'NOUN'], ['aspirar'], ['aspirar', 'o', 'alcatifa']]]
22;[[['verifique', 'quando', 'o', 'show', 'inicia'], ['VERB', 'ADV', 'DET', 'NOUN', 'VERB'], ['verifique', 'inicia'], ['verifique', 'quando', 'o', 'show', 'iniciar']]]
23;[[['quero', 'ouvir', 'eu', 'tenho', 'dois', 'amores', 'do', 'marco'], ['VERB', 'VERB', 'PRON', 'VERB', 'NUM', 'NOUN', 'ADP', 'NOUN'], ['quero ouvir', 'tenho'], ['querer', 'ouvir', 'eu', 'ter', 'dois', 'amor', 'de o', 'marco']], [['paulo'], ['PROPN'], [], ['Paulo']], [['novamente'], ['ADV'], [], ['novamente']]]
24;[[['podes', 'pôr', 'essa', 'música', 'novamente'], ['VERB', 'VERB', 'DET', 'NOUN', 'ADV'], ['podes pôr'], ['podes', 'pôr', 'esse', 'música', 'novamente']]]
25;[[['verifica', 'se', 'o', 'meu', 'carro', 'está', 'pronto'], ['VERB', 'SCONJ', 'DET', 'DET', 'NOUN', 'AUX', 'ADJ'], ['verifica'], ['verificar', 'se', 'o', 'meu', 'carro', 'estar', 'pronto']]]
26;[[['verifica', 'se', 'o', 'meu', 'portátil', 'está', 'a', 'trabalhar'], ['VERB', 'SCONJ', 'DET', 'DET', 'NOUN', 'VERB', 'SCONJ', 'VERB'], ['verifica', 'está', 'trabalhar'], ['verificar', 'se', 'o', 'meu', 'portátil', 'estar', 'a', 'trabalhar']]]
27;[[['a', 'luminosidade', 'do', 'meu', 'ecrã', 'está', 'baixa'], ['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'ADJ'], ['está baixa'], ['o', 'luminosidade', 'de o', 'meu', 'ecrã', 'estar', 'baixo']]]
28;[[['preciso', 'de', 'ter', 'os', 'serviços', 'localização', 'ligados', 'podes', 'verificar'], ['ADJ', 'SCONJ', 'VERB', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB'], ['preciso', 'ter', 'ligados podes verificar'], ['preciso', 'de', 'ter', 'o', 'serviço', 'localização', 'ligar', 'podes', 'verificar']]]
29;[[['cheque', 'o', 'desempenho', 'da', 'minha', 'bateria'], ['NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN'], [], ['cheque', 'o', 'desempenho', 'de o', 'meu', 'bateria']]]
30;[[['não', 'estou', 'cansado', 'na', 'realidade', 'estou', 'feliz'], ['ADV', 'AUX', 'ADJ', 'ADP', 'NOUN', 'AUX', 'ADJ'], ['estou cansado'], ['não', 'estar', 'cansado', 'em o', 'realidade', 'estar', 'feliz']]]
31;[[['siri', 'não', 'estou', 'cansado', 'na', 'realidade', 'estou', 'feliz'], ['NOUN', 'ADV', 'AUX', 'ADJ', 'ADP', 'NOUN', 'AUX', 'ADJ'], ['estou cansado'], ['siri', 'não', 'estar', 'cansado', 'em o', 'realidade', 'estar', 'feliz']]]
32;[[['o', 'que', 'se', 'passa'], ['PRON', 'PRON', 'PRON', 'VERB'], ['passa'], ['o', 'que', 'se', 'passar']]]
33;[[['diz-me', 'as', 'horas', 'em', 'lisboa'], ['VERB', 'DET', 'NOUN', 'ADP', 'PROPN'], ['diz-me'], ['diz-me', 'o', 'hora', 'em', 'Lisboa']]]
34;[[['diz', 'me', 'as', 'horas', 'em', 'g.', 'm.', 't.', 'mais', 'cinco'], ['VERB', 'PRON', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'ADV', 'NUM'], ['diz', 't.'], ['dizer', 'eu', 'o', 'hora', 'em', 'g.', 'm.', 't.', 'mais', 'cinco']]]
35;[[['olly', 'mostra', 'uma', 'lista', 'das', 'opções', 'de', 'entrega', 'de', 'comida', 'chinesa', 'com', 'mais', 'avaliações'], ['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN'], ['mostra'], ['olly', 'mostrar', 'um', 'lista', 'de o', 'opção', 'de', 'entrega', 'de', 'comida', 'chinês', 'com', 'mais', 'avaliação']]]
36;[[['entrega', 'ao', 'domicílio', 'de', 'comida', 'chinesa', 'com', 'mais', 'avaliações'], ['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN'], ['entrega'], ['entregar', 'a o', 'domicílio', 'de', 'comida', 'chinês', 'com', 'mais', 'avaliação']]]
37;[[['olly', 'melhores', 'avaliações', 'de', 'entrega', 'para', 'comida', 'chinesa'], ['NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ'], [], ['olly', 'bom', 'avaliação', 'de', 'entrega', 'para', 'comida', 'chinês']]]
38;[[['apetece-me', 'caril', 'tens', 'alguma', 'recomendação'], ['VERB', 'NOUN', 'VERB', 'DET', 'NOUN'], ['apetece-me', 'tens'], ['apetece-me', 'caril', 'tens', 'algum', 'recomendação']]]
39;[[['quero', 'algum', 'caril', 'para', 'levar', 'alguma', 'recomendação', 'olly'], ['VERB', 'DET', 'NOUN', 'SCONJ', 'VERB', 'DET', 'NOUN', 'ADJ'], ['quero', 'levar'], ['querer', 'algum', 'caril', 'para', 'levar', 'algum', 'recomendação', 'olly']]]
40;[[['procura', 'por', 'comida', 'tailandesa', 'com', 'takeaway', 'perto', 'do', 'centro', 'do', 'porto'], ['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADV', 'ADP', 'NOUN', 'ADP', 'NOUN'], [], ['procurar', 'por', 'comida', 'tailandês', 'com', 'takeaway', 'perto', 'de o', 'centro', 'de o', 'Porto']]]
41;[[['para', 'o', 'alarme', 'das', 'sete', 'da', 'manhã'], ['ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'ADP', 'NOUN'], [], ['para', 'o', 'alarme', 'de o', 'sete', 'de o', 'manhã']]]
42;[[['por', 'favor', 'lista', 'os', 'alarmes', 'ativos'], ['ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ'], ['lista'], ['por', 'favor', 'lista', 'o', 'alarme', 'ativo']]]
43;[[['o', 'que', 'está', 'a', 'acontecer', 'no', 'futebol', 'hoje'], ['PRON', 'PRON', 'VERB', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'ADV'], ['está', 'acontecer'], ['o', 'que', 'estar', 'a', 'acontecer', 'em o', 'futebol', 'hoje']]]
44;[[['por', 'favor', 'põe', 'contentores', 'dos', 'xutos', 'e', 'pontapés'], ['ADP', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN'], ['põe'], ['por', 'favor', 'pôr', 'contentor', 'de o', 'xuto', 'e', 'pontapé']]]
45;[[['gosto', 'de', 'música', 'rock'], ['NOUN', 'ADP', 'NOUN', 'ADJ'], [], ['gostar', 'de', 'música', 'rock']]]
46;[[['minha', 'banda', 'de', 'música', 'favorita', 'é', 'queen'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'AUX', 'X'], [], ['meu', 'banda', 'de', 'música', 'favorito', 'ser', 'queen']]]
47;[[['começa', 'a', 'tocar', 'música', 'dos', 'meus', 'favoritos'], ['VERB', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN'], ['começa a tocar'], ['começar', 'a', 'tocar', 'música', 'de o', 'meu', 'favorito']]]
48;[[['por', 'favor', 'toca', 'a', 'minha', 'melhor', 'música'], ['ADP', 'NOUN', 'VERB', 'DET', 'DET', 'ADJ', 'NOUN'], ['toca'], ['por', 'favor', 'tocar', 'o', 'meu', 'bom', 'música']]]
49;[[['qual', 'é', 'o', 'autor', 'desta', 'música'], ['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN'], [], ['qual', 'ser', 'o', 'autor', 'de este', 'música']]]
50;[[['de', 'que', 'álbum', 'é', 'a', 'música', 'atual'], ['SCONJ', 'SCONJ', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADJ'], [], ['de', 'que', 'álbum', 'ser', 'o', 'música', 'atual']]]
